,log2fc,padj
CTNND1,0.6022732281391265,0.0004604683117145764
ARHGAP31,0.6486410671746854,0.0004604683117145764
CHN2,0.5532219722094376,0.0005505046620706087
TNS3,0.6524029994830407,0.0005505046620706087
ZNF418,0.6465319320295977,0.000586679149948721
SLC39A11,0.5370446233523776,0.0006038101938207864
WDR11,0.6591229831645089,0.0006563884238879991
SNX29,0.4723581234727856,0.0007259224462656194
CRYBG3,0.7165439452527629,0.0007364525284452626
MYOF,0.8168710082582429,0.0007364525284452626
SCIMP,0.5496446432400415,0.0012438043172210739
CSF1R,0.49602328968722986,0.0012702973165056488
PDGFC,0.5394841618695938,0.0012702973165056488
RASSF4,0.49979286099826936,0.0012702973165056488
ROBO3,0.7338323093307977,0.0012702973165056488
SIDT2,0.6238621891552967,0.0012702973165056488
CDC42BPB,0.47905249218058543,0.0012702973165056488
TRIO,0.5572969028084227,0.0012702973165056488
GRK3,0.5086045056605686,0.0014375063216886708
CYP2U1,0.6167369872157806,0.0014375063216886708
GALNT6,0.45221617124426405,0.0014375063216886708
ADAP2,0.4411149583398095,0.0015888935653430762
SHTN1,0.8897808935667437,0.0015888935653430762
TIMM8A,0.46133671833522394,0.0015888935653430762
CRHBP,0.2336957018804558,0.00162447297907897
MAP10,0.4950721630434751,0.0021235532918982406
OCRL,0.4866270535336099,0.0021235532918982406
RTN4IP1,0.4346728354602538,0.0021235532918982406
CCR2,0.6497710014279576,0.0021235532918982406
FZD1,0.5220171605553952,0.0021235532918982406
GAS6,0.5075169879135986,0.0021235532918982406
NAGA,0.44040620331404146,0.0021235532918982406
ARPIN,1.0570181489281136,0.0021235532918982406
ENSG00000286905,0.385922595046549,0.0021235532918982406
FUT4,0.5085371090785364,0.0021235532918982406
CDYL,0.3370186459209723,0.0021581698238589964
NBAS,0.5747838627035353,0.0021581698238589964
PTGER2,0.6124376244232117,0.0023317401511056446
IMPACT,0.5601713930235688,0.0023317401511056446
SMG1P3,0.8252710026207541,0.0028259661312949654
SLC43A3,0.41237118220753555,0.0028446343954051084
LY75-CD302,1.4924697590148863,0.0028446343954051084
ZIK1,0.5874103882883688,0.0028446343954051084
PLD2,0.4144103739042695,0.0028446343954051084
DPYD,0.5394448854411573,0.0028446343954051084
RTN1,0.5675196350922294,0.0028446343954051084
ACO1,0.44576175169433174,0.0028446343954051084
